index,created_date,Price,below_price,Area,Adress,Bedrooms,Bathrooms,Parking_Spaces,Latitude,Longitude,Ano,Bairro,Cidade
0,2021-02-08,539000.0,False,43.0,"Rua Coronel Luís Barroso 582, Santo Amaro - São Paulo/SP",1.0,1.0,1.0,-23.64700152286752,-46.70490466506418,2021.0,Santo Amaro,São Paulo
1,2018-03-27,1649980.0,False,45.0,"Rua Diogo Jácome 955, Vila Nova Conceição - São Paulo/SP",1.0,1.0,1.0,,,2018.0,Vila Nova Conceição,São Paulo
2,2020-07-22,1149000.0,False,57.0,"Rua Fernão Dias 323, Pinheiros - São Paulo/SP",1.0,1.0,1.0,-23.56413595,-46.69517321540903,2020.0,Pinheiros,São Paulo
3,2024-11-12,255000.0,False,55.0,"Avenida Paes de Barros 411, Mooca - São Paulo/SP",1.0,1.0,1.0,-23.55915035,-46.59986904629216,2024.0,Mooca,São Paulo
4,2021-10-29,232800.0,False,35.0,"Rua Professor Artur Primavesi 154, Parque Bristol - São Paulo/SP",1.0,1.0,1.0,,,2021.0,Parque Bristol,São Paulo
5,2021-02-08,630000.0,False,35.0,"Rua Guararapes 305, Brooklin Paulista - São Paulo/SP",1.0,1.0,1.0,,,2021.0,Brooklin Paulista,São Paulo
6,2018-03-27,210000.0,False,42.0,"Rua Antônio Pais de Sande , Vila Mirante - São Paulo/SP",1.0,1.0,1.0,-23.47033400694629,-46.72317915217301,2018.0,Vila Mirante,São Paulo
7,2018-03-30,640000.0,False,47.0,"Rua Doutor Jesuíno Maciel 2105, Campo Belo - São Paulo/SP",1.0,1.0,1.0,-23.62681149561859,-46.663729669008255,2018.0,Campo Belo,São Paulo
8,2022-08-11,390000.0,False,45.0,"Rua Marquês de Itu 836, Vila Buarque - São Paulo/SP",1.0,1.0,1.0,-23.543865389310827,-46.645592199322415,2022.0,Vila Buarque,São Paulo
9,2018-03-28,1050000.0,False,45.0,"Avenida Moema 267, Moema - São Paulo/SP",1.0,1.0,2.0,-23.60482437423106,-46.6582722533614,2018.0,Moema,São Paulo
10,2018-03-27,2553192.0,False,90.0,"Rua Itacema 65, Itaim Bibi - São Paulo/SP",1.0,1.0,2.0,-23.579465084589025,-46.673280870640205,2018.0,Itaim Bibi,São Paulo
11,2023-05-30,2300000.0,False,86.0,"Rua Oliveira Dias , Jardim Paulista - São Paulo/SP",1.0,1.0,2.0,-23.58167493911725,-46.66978213543193,2023.0,Jardim Paulista,São Paulo
12,2018-03-27,438800.0,False,80.0,"Avenida Senador José Ermírio de Moraes 389, Tremembé - São Paulo/SP",1.0,1.0,2.0,-23.452523509704413,-46.6145932381845,2018.0,Tremembé,São Paulo
13,2018-03-27,389000.0,False,58.0,"Rua Itaiteva 125, Jardim Ampliação - São Paulo/SP",1.0,1.0,2.0,,,2018.0,Jardim Ampliação,São Paulo
14,2019-02-19,369000.0,False,42.0,"Rua Voluntários da Pátria , Santana - São Paulo/SP",1.0,1.0,2.0,-23.5137228,-46.62600613655272,2019.0,Santana,São Paulo
15,2018-03-27,360000.0,False,42.0,"Rua Alexandre Benois 125, Vila Andrade - São Paulo/SP",1.0,1.0,2.0,-23.636001915256507,-46.73780430432569,2018.0,Vila Andrade,São Paulo
16,2024-08-16,438800.0,False,80.0,"Avenida Senador José Ermírio de Moraes 389, Tremembé - São Paulo/SP",1.0,1.0,2.0,-23.452523509704413,-46.6145932381845,2024.0,Tremembé,São Paulo
17,2022-07-20,340000.0,False,45.0,"Rua das Perobas , Vila Parque Jabaquara - São Paulo/SP",1.0,1.0,2.0,,,2022.0,Vila Parque Jabaquara,São Paulo
18,2018-03-27,320000.0,False,40.0,"Rua Francisco Rossano , Sítio da Figueira - São Paulo/SP",1.0,1.0,2.0,,,2018.0,Sítio da Figueira,São Paulo
19,2018-03-27,215000.0,False,38.0,"Rua Kenkiti Shimomoto 1500, Jardim Boa Vista (Zona Oeste) - São Paulo/SP",1.0,1.0,3.0,,,2018.0,Jardim Boa Vista (Zona Oeste),São Paulo
20,2018-03-27,692000.0,False,50.0,"Avenida Ireré 442, Planalto Paulista - São Paulo/SP",1.0,1.0,3.0,,,2018.0,Planalto Paulista,São Paulo
21,2018-03-27,215000.0,False,35.0,"Rua Serra das Divisões , Cidade Líder - São Paulo/SP",1.0,1.0,3.0,-23.555372380949915,-46.48753685072094,2018.0,Cidade Líder,São Paulo
22,2018-03-27,550000.0,False,52.0,"Rua Monsenhor Passaláqua 175, Bela Vista - São Paulo/SP",1.0,1.0,3.0,-23.56067898116271,-46.64137957443678,2018.0,Bela Vista,São Paulo
23,2018-03-27,2058000.0,False,132.0,"Rua Haddock Lobo 829, Cerqueira César - São Paulo/SP",1.0,1.0,3.0,-23.55968615,-46.66316625,2018.0,Cerqueira César,São Paulo
24,2018-03-28,315000.0,False,50.0,"Rua João Scatamacchia 292, Vila Campo Grande - São Paulo/SP",1.0,1.0,100.0,-23.679180676503663,-46.67989076049197,2018.0,Vila Campo Grande,São Paulo
25,2018-07-20,400000.0,False,48.0,"Alameda Barros , Santa Cecília - São Paulo/SP",1.0,1.0,48.0,-23.53553493132726,-46.65858666485027,2018.0,Santa Cecília,São Paulo
26,2018-03-27,360000.0,False,35.0,"Rua Xavier Krauss 640, Vila Leopoldina - São Paulo/SP",1.0,1.0,35.0,,,2018.0,Vila Leopoldina,São Paulo
