Distrito,Subprefeitura
Bela Vista,Sé
Bom Retiro,Sé
Cambuci,Sé
Consolação,Sé
Liberdade,Sé
República,Sé
Santa Cecília,Sé
Sé,Sé
Aricanduva,Aricanduva/Formosa/Carrão
Carrão,Aricanduva/Formosa/Carrão
Vila Formosa,Aricanduva/Formosa/Carrão
Cidade Tiradentes,Cidade Tiradentes
Ermelino Matarazzo,Ermelino Matarazzo
Ponte Rasa,Ermelino Matarazzo
Guaianases,Guaianases
Lajeado,Guaianases
Itaim Paulista,Itaim Paulista
Vila Curuçá,Itaim Paulista
Cidade Líder,Itaquera
Itaquera,Itaquera
José Bonifácio,Itaquera
Parque do Carmo,Itaquera
Água Rasa,Mooca
Belém,Mooca
Brás,Mooca
Moóca,Mooca
Pari,Mooca
Tatuapé,Mooca
Artur Alvim,Penha
Cangaíba,Penha
Penha,Penha
Vila Matilde,Penha
Iguatemi,São Mateus
São Mateus,São Mateus
São Rafael,São Mateus
Jardim Helena,São Miguel
São Miguel ,São Miguel
Vila Jacuí,São Miguel
São Lucas,Vila Prudente/Sapopemba
Sapopemba,Vila Prudente/Sapopemba
Vila Prudente,Vila Prudente/Sapopemba
Cachoeirinha,Casa Verde/Cachoeirinha
Casa Verde,Casa Verde/Cachoeirinha
Limão,Casa Verde/Cachoeirinha
Brasilândia,Freguesia/Brasilândia
Freguesia do Ó,Freguesia/Brasilândia
Jaçanã,Jaçanã/Tremembé
Tremembé,Jaçanã/Tremembé
Anhanguera,Perus
Perus,Perus
Jaraguá,Pirituba
Pirituba,Pirituba
São Domingos,Pirituba
Mandaqui,Santana/Tucuruvi
Santana,Santana/Tucuruvi
Tucuruvi,Santana/Tucuruvi
Vila Guilherme,Vila Maria/Vila Guilherme
Vila Maria,Vila Maria/Vila Guilherme
Vila Medeiros,Vila Maria/Vila Guilherme
Butantã,Butantã
Morumbi,Butantã
Raposo Tavares,Butantã
Rio Pequeno,Butantã
Vila Sônia,Butantã
Barra Funda,Lapa
Jaguara,Lapa
Jaguaré,Lapa
Lapa,Lapa
Perdizes,Lapa
Vila Leopoldina,Lapa
Alto de Pinheiros,Pinheiros
Itaim Bibi,Pinheiros
Jardim Paulista,Pinheiros
Pinheiros,Pinheiros
Campo Limpo,Campo Limpo
Capão Redondo,Campo Limpo
Vila Andrade,Campo Limpo
Cidade Dutra,Capela do Socorro
Grajaú,Capela do Socorro
Socorro,Capela do Socorro
Cidade Ademar,Cidade Ademar
Pedreira,Cidade Ademar
Cursino,Ipiranga
Ipiranga,Ipiranga
Sacomã,Ipiranga
Jabaquara,Jabaquara
Jardim Ângela,M'Boi Mirim
Jardim São Luís,M'Boi Mirim
Marsilac,Parelheiros
Parelheiros,Parelheiros
Campo Belo,Santo Amaro
Campo Grande,Santo Amaro
Santo Amaro,Santo Amaro
Moema,Vila Mariana
Saúde,Vila Mariana
Vila Mariana,Vila Mariana
