Subprefeitura,IDH_2010
Pinheiros,0.942
Vila Mariana,0.938
Santo Amaro,0.909
Lapa,0.906
Sé,0.889
Mooca,0.869
Santana / Tucuruvi,0.869
Butantã,0.859
Ipiranga,0.824
Aricanduva / Vila Formosa,0.822
Jabaquara,0.816
Penha,0.804
Casa Verde,0.799
Vila Maria / Vila Guilherme,0.793
Pirituba / Jaragua,0.787
Vila Prudente,0.785
Campo Limpo,0.783
Ermelino Matarazzo,0.777
Jaçanã / Tremembé,0.768
Freguesia do O / Brasilândia,0.762
Itaquera,0.758
Cidade Ademar,0.758
Capela do Socorro,0.75
São Miguel Paulista,0.736
São Mateus,0.732
Perus,0.731
Itaim Paulista,0.725
M'Boi Mirim,0.716
Guaianases,0.713
Cidade Tiradentes,0.708
Parelheiros,0.68
